ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
159706,10-7W-9003,"GDMCC 1.1252, KACC 19415, KCTC 52926",1,1,Chitinophaga varians,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
24768,"HKU 16, HKU16","DSM 18959, CCUG 54229, JCM 17853, KCTC 15500",1,1,Christensenella hongkongensis,+,glutamate decarboxylase
133287,IITR-71,"MTCC 11059, JCM 30068, KCTC 52433",1,1,Chromobacterium alkanivorans,+,catalase
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,glutamyl arylamidase pNA
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,phosphatase
,,,,,,+,pyrrolidonyl arylamidase
,,,,,,+,tyrosine arylamidase
,,,,,,+,urease
131375,,"DSM 26508, CBMAI 310",1,1,Chromobacterium amazonense,+,arginine dihydrolase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
10453,CC-SEYA-1,"DSM 19852, BCRC 17769, CCUG 55175",1,1,Chromobacterium aquaticum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,arginine dihydrolase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
10452,,"DSM 19808, CCUG 53230, JCM 14163, MDA 0585",1,1,Chromobacterium haemolyticum,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
164146,,"JCM 31884, NRRL B-67132, IIBBL 112-1",1,1,Chromobacterium phragmitis,+,arginine dihydrolase
,,,,,,+,lipase
,,,,,,+,protease
,,,,,,+,urease
10454,,"DSM 23278, CCM 3329, LMG 3947, CCUG 30097",1,1,Chromobacterium piscinae,+,arginine dihydrolase
,,,,,,+,cytochrome oxidase
,,,,,,+,L-aspartate arylamidase
,,,,,,+,lipase
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,1,Chromobacterium rhizoryzae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,lecithinase
,,,,,,+,lipase
23150,MWU205,"DSM 25150, ATCC BAA-2314",1,1,Chromobacterium vaccinii,+,arginine dihydrolase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
10449,"MK, Mentekab","DSM 30191, ATCC 12472, IFO 12614, NBRC 12614, NCIB 9131, NCTC 9757, CCUG 213, JCM 1249, BCRC 10636, CECT 494, CIP 103350, IAM 12470, ICMP 8644, KCTC 2897, LMG 1267, NCIMB 9131, VTT E-082793, RIMD 0315004",1,1,Chromobacterium violaceum,+,acid phosphatase
,,,,,,+,alcohol dehydrogenase
,,,,,,+,alkaline phosphatase
,,,,,,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
,,,,,,+,lecithinase
5995,L 593,"DSM 7218, ATCC 19372, NCIB 9041, CCUG 49679, CIP 106957, LMG 2148, NCCB 35008, NRRL B-3153, NCIMB 9041, JCM 21422, IAM 14940, JCM 13305, NBRC 103041, Delft E III.9.23.1, CCUG 106957",1,1,Chromohalobacter beijerinckii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
5996,1/13/2026,"DSM 6769, ATCC 43984, NRCC 41227, CIP 105571",1,1,Halomonas canadensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
5997,"Ba1, Ba<SUB>1</SUB>, 1-13-31","DSM 6768, ATCC 43985, CIP 105572",1,1,Halomonas israelensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
134283,43,"CECT 7219, CCM 7416",1,1,Chromohalobacter japonicus,+,catalase
,,,,,,+,gelatinase
6001,"4N, LTS-4N","DSM 14323, CECT 5315",1,1,Chromohalobacter nigrandesensis,+,catalase
,,,,,,+,urease
5998,1H11,"DSM 3043, CIP 106854, CCM 4921, CECT 5384, ATCC BAA-138, NCIMB 13768",1,1,Halomonas israelensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
6000,LV4,"DSM 15547, ATCC BAA-761, CCUG 47987, CIP 108589",1,1,Chromohalobacter sarecensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,valine arylamidase
134065,KM,"ATCC BAA-2160, NRRL B-59516, KCTC 23297",1,1,Chryseobacterium angstadtii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
5675,"AT 1013, AT1013","DSM 17047, IMSNU 14040, JCM 12381, KCTC 12225, CIP 108669",1,1,Chryseobacterium antarcticum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
133494,NF 1366,"CCUG 52764, CIP 109762",1,1,Chryseobacterium anthropi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
134323,"Oct-46, 10-46","KCTC 12483, CECT 7302",1,1,Chryseobacterium aquaticum,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
134319,CW9,"KCTC 12894, JCM 14756, CIP 110377",1,1,Chryseobacterium aquifrigidense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
23025,CC-VM-7,"DSM 25208, CCM 7645, CCUG 57618, CIP 110186, DSM 22218",1,1,Chryseobacterium arthrosphaerae,+,acid phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
159792,F30,"KCTC 62135, MCCC 1K03457",1,1,Chryseobacterium aurantiacum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine aminopeptidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine aminopeptidase
164468,17S1E7,"JCM 33165, KACC 19920",1,1,Chryseobacterium aureum,+,catalase
,,,,,,+,cytochrome oxidase
5670,La 724,"DSM 16775, ATCC 33487, CIP 103103, LMG 8329, NBRC 15053, NCTC 11212, CCUG 13228, JCM 1278, BCRC 17332, BCRC 17361, CCM 4450, CCTM 724, IAM 14209, IFO 15053, JCM 21074, LMG 4010, NCIMB 2270",1,1,Chryseobacterium balustinum,+,catalase
,,,,,,+,oxidase
134062,CDCG229,"CCUG 60564, NCTC 13530",1,1,Chryseobacterium bernardetii,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
167682,lm2,"KCTC 72529, CCTCC AB 2019126",1,1,Chryseobacterium binzhouense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,chymotrypsin
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
5691,H9,"DSM 19482, LMG 24227, CIP 110170",1,1,Chryseobacterium bovis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
5741,HM0024,"DSM 22323, CECT 7503, KCTC 22689",1,1,Chryseobacterium buanense,+,catalase
,,,,,,+,cytochrome oxidase
5681,N4,"DSM 17710, CCBAU 10201, CIP 109625, KCTC 12506",1,1,Chryseobacterium caeni,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
168572,JC507,"MCC 4072, NBRC 113872, KCTC 52928",1,1,Chryseobacterium candidae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
24038,9_R23581,"DSM 25581, LMG 26732",1,1,Chryseobacterium carnipullorum,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
5711,Sa 1147-06,"DSM 23145, CCM 7737, CIP 110405, CCUG 58959",1,1,Chryseobacterium chaponense,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,urease
133363,,"KACC 18798, JCM 31422, GSE 06",1,1,Chryseobacterium cucumeris,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
,,,,,,+,urease
5709,R4-1A,"DSM 23031, CCM 7716, LMG 25442, CCUG 58784, CIP 110213",1,1,Chryseobacterium culicis,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,oxidase
,,,,,,+,urease
5677,CPW406,"DSM 15235, CCUG 52896, KCTC 12088, NBRC 102008, CIP 110173",1,1,Chryseobacterium daecheongense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
5689,K105,"DSM 19388, JCM 14362, KCTC 12841, CIP 110016",1,1,Chryseobacterium daeguense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
5668,"B2, B2T","DSM 14219, CIP 107207, CCUG 47675, KCTC 12434",1,1,Chryseobacterium defluvii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
,,,,,,+,lecithinase
133361,CC-YTH209,"BCRC 80938, JCM 31226",1,1,Chryseobacterium endophyticum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,DNase
132874,CW-E 2,DSM 18973,1,1,Chryseobacterium flavum,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
172820,CW-E 2,"CIP 109739, KCTC 12877, CCTCC AB 206147",1,1,Chryseobacterium flavum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
5679,CC-H3-2,"DSM 17452, CCUG 49271, CIP 108367, KCTC 12435",1,1,Chryseobacterium formosense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
24035,PB4,"DSM 26000, LMG 27025",1,1,Chryseobacterium frigidisoli,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
132418,D07,"DSM 100383, CCTCC AB 2011160, KCTC 42897",1,1,Chryseobacterium frigidum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
5698,5-1St1a,"DSM 18014, CCUG 52549, CIP 110172",1,1,Chryseobacterium gambrini,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
133901,,"KCTC 23760, JCM 18019, DCY 63",1,1,Chryseobacterium ginsengisoli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
,,,,,,+,urease
158632,,"MTCC 12457, JCM 31156, KACC 19170, IHBB 10212",1,1,Chryseobacterium glaciei,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,tripeptide aminopeptidase
,,,,,,+,tyrosine arylamidase
,,,,,,+,urease
5667,F93,"DSM 16776, ATCC 35910, CCUG 14555, CIP 103039, JCM 2410, LMG 8334, NCTC 11432, IFO 15054, LMG 12447, NBRC 15054",1,1,Chryseobacterium gleum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
134711,,"CIP 110007, NRRL B-59357",1,1,Chryseobacterium aquaticum subsp. greenlandense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
5688,P 461/12,"DSM 19109, LMG 24052, CIP 110171",1,1,Chryseobacterium gregarium,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
134032,THG-A18,"KACC 16227, LMG 26579",1,1,Chryseobacterium gwangjuense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
,,,,,,+,urease
5687,H38,"DSM 19056, LMG 24029, CIP 110174",1,1,Chryseobacterium haifense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
5510,H1,"DSM 19921, LMG 24401",1,1,Chryseobacterium halperniae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
24039,AG13,"DSM 25574, CCUG 63019",1,1,Chryseobacterium hispalense,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
134193,VP48,"CECT 7129, CCM 7359, JCM 13554, CIP 109356",1,1,Chryseobacterium hispanicum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
5695,P2K6,"DSM 19326, CIP 109575",1,1,Chryseobacterium hominis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
,,,,,,+,trypsin
5696,NF802,"DSM 22165, CCUG 52711, CIP 109415",1,1,Chryseobacterium hominis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
5705,ECP37,"DSM 21580, LMG 24684, NBRC 104927, CIP 110175",1,1,Chryseobacterium humi,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
5694,CHB-20p,"DSM 19684, NCAIM B2269, NCAIM B.02269, CIP 110178",1,1,Chryseobacterium hungaricum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
5671,,"DSM 16777, ATCC 29897, CCUG 14483, CDC 3716, CIP 101026, GIFU 1347, LMG 8337, NCTC 10796",1,1,Chryseobacterium indologenes,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,oxidase
,,,,,,+,tween esterase
5672,F37,"DSM 16778, ATCC 27950, CCUG 33445, CIP 103168, LMG 4025, NCIMB 2220",1,1,Chryseobacterium indoltheticum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
5702,JS17-8,"DSM 19299, KACC 12501, CIP 110176",1,1,Chryseobacterium jejuense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
5676,AT1047,"DSM 17048, IMSNU 14049, JCM 12382, KCTC 12226, CIP 108670, NCTC 13459",1,1,Chryseobacterium jeonii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
5674,Ix 5a,"DSM 16927, CCM 7154, CCUG 46665, LMG 18212, CIP 105533",1,1,Chryseobacterium joostei,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
,,,,,,+,lecithinase
23022,Chj707,"DSM 25209, CCUG 49689, IAM 15050, JCM 21512, KCTC 12107, NBRC 103027, CIP 108606",1,1,Chryseobacterium koreense,+,acid phosphatase
,,,,,,+,alcohol dehydrogenase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,DNase
133961,KJ1R5,"KACC 13029, JCM 15904",1,1,Chryseobacterium kwangjuense,+,gelatinase
134063,"A140/68, F68, CDCKC1864","CCUG 60566, NCTC 11390",1,1,Chryseobacterium lactis,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
133389,XC0022,"KCTC 52364, MCCC 1K02723",1,1,Chryseobacterium lineare,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,chymotrypsin
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
5693,P 456/04,"DSM 18605, CIP 109792, LMG 23785",1,1,Chryseobacterium luteum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
134294,,"KCCM 42689, NBRC 103143, IMCC 3228, CIP 110389",1,1,Chryseobacterium marinum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,gelatinase
135739,90B,"CIP 107752, CCUG 51329",1,1,Chryseobacterium massiliense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
137377,4401325,CIP 109435,1,1,Chryseobacterium massiliensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
5699,DW3,"DSM 18016, CCUG 52547, CIP 110177",1,1,Chryseobacterium molle,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
133143,WG4,"KCTC 52204, CCTCC AB 2016058",1,1,Chryseobacterium montanum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
164558,CA10,"JCM 33443, KACC 21234",1,1,Chryseobacterium mulctrae,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
134064,F91,"CCUG 60563, CDC G41, NCTC 13529",1,1,Chryseobacterium nakagawai,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
133365,C-5-3,"KEMB 9005-411, KACC 18907, JCM 31469",1,1,Chryseobacterium nepalense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
5686,H8,"DSM 19055, CIP 109920, LMG 24030",1,1,Chryseobacterium oranimense,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
5700,26-3St2b,"DSM 18015, CCUG 52548",1,1,Chryseobacterium pallidum,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
